Start,End,Open,High,Low,Close,Volume,Market Cap
2025-02-03,2025-02-04,4.187702438126178e-7,4.228811405336647e-7,3.6057815632834576e-7,4.111888853508529e-7,1028294.5296167247,0
2025-02-02,2025-02-03,4.394892571993824e-7,4.467556072243631e-7,4.136933609876767e-7,4.1451571829490364e-7,1209979.7351916377,0
2025-02-01,2025-02-02,4.6155169805608244e-7,4.7003496481915285e-7,4.386521667250745e-7,4.386521667250745e-7,1247275.038327526,0
2025-01-31,2025-02-01,4.590603301265526e-7,4.750522076619093e-7,4.5208439160494506e-7,4.580005477843991e-7,1348191.5017421602,0
2025-01-30,2025-01-31,4.490674277096053e-7,4.7166804704653805e-7,4.479952429265645e-7,4.5906591828264834e-7,1094826.7351916377,0
2025-01-29,2025-01-30,4.5672900234033283e-7,4.7503361434015395e-7,4.4398571648020507e-7,4.5003622091813503e-7,1147266.613240418,0
2025-01-28,2025-01-29,4.805117212375715e-7,5.028957135344062e-7,4.55236448629749e-7,4.6107939711741415e-7,1161148.2926829269,0
2025-01-27,2025-01-28,4.7338978359775733e-7,4.834396725665749e-7,4.507908069292166e-7,4.763112227390821e-7,1204626.8780487804,0
2025-01-26,2025-01-27,4.820324140206957e-7,4.933788367165801e-7,4.6662554510118696e-7,4.723313945017587e-7,1340384.4773519165,0
2025-01-25,2025-01-26,4.825756882157309e-7,4.853895547849203e-7,4.734772136716555e-7,4.770484796420008e-7,1156607.1114982578,0
2025-01-24,2025-01-25,4.896707345513475e-7,4.983093193152172e-7,4.813529567045142e-7,4.815627611696428e-7,1282304.1846689896,0
2025-01-23,2025-01-24,4.916116663600198e-7,5.033357919910599e-7,4.80096634699364e-7,4.970355545107839e-7,1255128.425087108,0
2025-01-22,2025-01-23,4.8839097350046e-7,5.078421118890625e-7,4.8839097350046e-7,4.98683064938555e-7,1383667.5470383274,0
2025-01-21,2025-01-22,4.813982977110873e-7,5.004245686369652e-7,4.682010503357882e-7,4.896129456307507e-7,1330512.7700348431,0
