Start,End,Open,High,Low,Close,Volume,Market Cap
2025-02-03,2025-02-04,1.2533665696623312e-10,1.2533665696623312e-10,1.0557803457394612e-10,1.2231657578977144e-10,164.2113780487804,0
2025-02-02,2025-02-03,1.3875810107853879e-10,1.424612862923717e-10,1.2189895976375304e-10,1.253549878478727e-10,708.0699818815327,0
2025-02-01,2025-02-02,1.5104327786470274e-10,1.542747216042551e-10,1.37957382178152e-10,1.3871334147653946e-10,826.6915763066206,0
2025-01-31,2025-02-01,1.5449277685788543e-10,1.6850821871091168e-10,1.4718842328919e-10,1.51312569076493e-10,733.7235581881534,0
2025-01-30,2025-01-31,1.5058786122558455e-10,1.5837714198673455e-10,1.4804171363814987e-10,1.5448495507534805e-10,343.9858327526132,0
2025-01-29,2025-01-30,1.5198478260141297e-10,1.6375620467568483e-10,1.4814006886889715e-10,1.5138518745317382e-10,377.4636560975613,0
2025-01-28,2025-01-29,1.5875312873859522e-10,1.6420878325554217e-10,1.4855024411789889e-10,1.5159886704453812e-10,262.770056445993,0
2025-01-27,2025-01-28,1.616562918725741e-10,1.6518475006697475e-10,1.4902462825962553e-10,1.5827325013598396e-10,653.6773658536591,0
2025-01-26,2025-01-27,1.7402141580566462e-10,1.7879567708835082e-10,1.618212032480947e-10,1.6242116164202793e-10,1168.9718491289198,0
2025-01-25,2025-01-26,1.8985050662713563e-10,1.928144061182172e-10,1.7305864027243396e-10,1.7417422768429534e-10,1594.1368961672486,0
2025-01-24,2025-01-25,1.8140823796340088e-10,2.1150829143725796e-10,1.776821507407451e-10,1.899204797690913e-10,1282.1652871080132,0
2025-01-23,2025-01-24,1.8162169215714608e-10,1.95848286216407e-10,1.7596309525149376e-10,1.8164429924214124e-10,761.430463670805,0
2025-01-22,2025-01-23,2.2449604129696834e-10,2.2490197990897208e-10,1.8177888756732392e-10,1.8193712908638295e-10,895.9598234180899,0
2025-01-21,2025-01-22,2.209826769394744e-10,2.2901728213527443e-10,2.088468320745398e-10,2.2325006050917636e-10,3.638158102048002,0
2025-01-20,2025-01-21,2.149044220348833e-10,2.4867053612194145e-10,2.1128087600157113e-10,2.216542590739767e-10,119.35466739082557,0
2025-01-19,2025-01-20,3.4711901510328864e-10,3.491500489039295e-10,2.1604425256543573e-10,2.2035991427549906e-10,119.86337212543546,0
