Start,End,Open,High,Low,Close,Volume,Market Cap
2025-02-03,2025-02-04,55.1748,58.4815,45.1483,57.1123,236978884.33101046,435174136.1881533
2025-02-02,2025-02-03,64.2086,65.45,54.1217,55.5893,91264808.7108014,510604934.8780488
2025-02-01,2025-02-02,69.4789,70.3264,63.7877,64.1552,72208657.85714285,566110571.2996516
2025-01-31,2025-02-01,70.436,73.0981,68.998,69.7809,69686863.90243903,588547881.979094
2025-01-30,2025-01-31,68.8822,71.9543,68.1075,70.5664,83743370.74216028,584276807.5121951
2025-01-29,2025-01-30,67.3149,71.4664,67.1783,68.8809,79555193.57839721,577996300.174216
2025-01-28,2025-01-29,71.0751,71.4729,66.6186,67.4588,115138797.66550523,580281808.4494773
2025-01-27,2025-01-28,72.2882,72.7952,65.2534,70.635,98672861.40418118,572481486.3554007
2025-01-26,2025-01-27,74.6899,77.6465,72.5984,72.5984,62892125.09059233,627092001.010453
2025-01-25,2025-01-26,75.9172,76.1899,73.1503,74.9225,131134114.6097561,622141191.738676
2025-01-24,2025-01-25,77.5589,79.2659,74.7864,76.0427,115068867.48083624,642909050.174216
2025-01-23,2025-01-24,76.0951,78.7977,74.8214,77.3678,84760227.78397213,634548322.804878
2025-01-22,2025-01-23,80.3872,80.3872,75.9652,76.0391,102712332.56097561,650567609.087108
2025-01-21,2025-01-22,81.503,83.1883,77.3712,79.9963,156801266.26480836,667450511.2334495
2025-01-20,2025-01-21,79.4535,87.4796,78.3008,81.9198,189365679.3066202,692957260.7108014
2025-01-19,2025-01-20,83.7722,87.7941,78.2318,80.0644,113272465.48432055,696760843.6376307
2025-01-18,2025-01-19,89.8107,90.0215,82.0582,84.1794,155043596.75261325,704169603.630662
2025-01-17,2025-01-18,80.5079,91.7938,80.5079,89.7344,123776470.32404181,725232377.8850174
2025-01-16,2025-01-17,83.2913,83.5778,80.1178,80.3529,104176297.51916376,682009157.3101045
2025-01-15,2025-01-16,76.4095,84.5426,75.74,83.3744,95808663.43205576,665645177.5679443
2025-01-14,2025-01-15,73.2055,76.711,72.4695,76.411,93176382.3554007,619070891.5783972
2025-01-13,2025-01-14,77.3378,79.0401,69.8675,72.9628,84172481.34494774,612452051.1393728
2025-01-12,2025-01-13,79.6556,79.9538,77.4484,77.46,93541203.53310105,655156662.5191637
2025-01-11,2025-01-12,77.3569,81.5482,76.4056,79.8977,114352318.31707317,651490060.1916376
2025-01-10,2025-01-11,71.7311,77.51,71.4072,77.1906,100966376.22648084,622068936.7874564
