Start,End,Open,High,Low,Close,Volume,Market Cap
2025-02-03,2025-02-04,7.3289163742949635,8.767884353672619,6.454678698123368,8.623778273740252,22233850.034843206,371567517.4076655
2025-02-02,2025-02-03,8.595324564882102,8.76977767469791,7.1176305926976635,7.3478792179544605,8755008.205574913,390126284.79094076
2025-02-01,2025-02-02,9.71584443581153,9.807760964130868,8.51188891965141,8.596707157422648,6927210.763066202,447862574.3379791
2025-01-31,2025-02-01,10.5558,10.5598,9.62344379185499,9.714876497528577,10163014.216027874,489115518.912892
2025-01-30,2025-01-31,9.666970412081833,10.9743,9.624172718641674,10.5564,11016528.843205575,499996147.5993031
2025-01-29,2025-01-30,9.340626534953628,10.0432,9.29217874601126,9.708787494638209,11239529.714285715,459919245.0557491
2025-01-28,2025-01-29,9.649496693429011,10.2003,9.319113402240875,9.339981084966295,12868815.773519164,472168259.5052265
2025-01-27,2025-01-28,9.733079823608213,9.753186660819235,8.492778332756037,9.649820595085355,11737220.808362368,437903780.85714287
2025-01-26,2025-01-27,10.2903,10.3534,9.786502165019671,9.786502165019671,9379039.432055749,486144695.24041814
2025-01-25,2025-01-26,10.3907,10.4455,9.842968875199661,10.2803,20368437.087108012,486811083.4808362
2025-01-24,2025-01-25,11.3986,11.9249,10.3253,10.3477,12345189.961672474,553003970.3379791
2025-01-23,2025-01-24,11.7809,11.7809,10.9447,11.3907,11836814.972125435,538841922.4041812
2025-01-22,2025-01-23,12.6519,12.6695,11.7673,11.8072,11536431.386759581,588548469.1324042
2025-01-21,2025-01-22,12.0739,13.0882,11.865,12.6018,15214713.324041812,599903728.0313588
2025-01-20,2025-01-21,12.0087,13.4349,11.8824,12.0545,26434182.43554007,607404240.4703833
2025-01-19,2025-01-20,14.3481,14.7284,11.9013,11.9818,15189934.132404182,648454129.6167247
2025-01-18,2025-01-19,15.3099,15.5012,14.0264,14.3774,13514024.292682927,692605590.7108014
2025-01-17,2025-01-18,15.0832,15.9645,14.8376,15.3439,13602972.522648083,736944314.6480836
2025-01-16,2025-01-17,15.718,15.718,15.1228,15.1228,16876089.87804878,738056323.3170732
2025-01-15,2025-01-16,14.3,16.196,13.7326,15.7391,17198975.62020906,704123256.4947735
2025-01-14,2025-01-15,12.6949,14.643,12.6798,14.362,22239019.101045296,657547611.3902439
2025-01-13,2025-01-14,13.4068,13.6432,11.785,12.6799,21939927.278745644,602643895.066202
2025-01-12,2025-01-13,13.1434,13.8747,12.6452,13.417,15262847.707317073,631347591.4494773
2025-01-11,2025-01-12,12.9772,13.3511,12.5156,13.2858,20954810.30662021,613949876.020906
2025-01-10,2025-01-11,12.7173,14.0733,12.3425,12.947,31581780.972125437,636288054.9965156
2025-01-09,2025-01-10,15.4349,15.4349,12.2186,12.7064,30151548.49477352,653131293.4355401
2025-01-08,2025-01-09,14.9848,15.5376,13.1337,15.5149,31744887.20557491,693221514.8083624
2025-01-07,2025-01-08,17.2984,17.2991,14.9792,15.0096,24074429.602787457,784380821.1916376
2025-01-06,2025-01-07,17.7586,18.3672,17.1658,17.4569,29373304.996503495,852813694.6713287
2025-01-05,2025-01-06,16.5311,18.0156,15.8936,17.7376,21661733.790940765,797062093.912892
2025-01-04,2025-01-05,15.7616,17.1421,15.1265,16.5289,21312897.2543554,765192423.7770035
2025-01-03,2025-01-04,14.598,16.1157,13.9384,15.8198,23757579.536585364,713132171.1567944
2025-01-02,2025-01-03,12.3515,17.0029,12.2746,14.5659,25955922.864111498,700299709.3344948
2025-01-01,2025-01-02,12.6213,12.8394,11.9363,12.4271,15092739.588850174,593754586.1986063
2024-12-31,2025-01-01,13.5187,13.9485,12.6164,12.6221,22911512.041811846,640172698.8013937
2024-12-30,2024-12-31,12.2132,13.8916,12.2132,13.5206,15788774.083623694,620588842.5679443
2024-12-29,2024-12-30,12.576,12.5763,11.8824,12.2422,11438640.477351917,585422141.3484321
2024-12-28,2024-12-29,11.651,12.7974,11.651,12.5722,11430378.407665506,579562073.3449477
2024-12-27,2024-12-28,11.121,11.8348,11.009,11.6085,10489915.477351917,549044458.174216
2024-12-26,2024-12-27,11.6962,11.745,10.9742,11.1075,8909924.818815332,542527050.6202091
2024-12-25,2024-12-26,11.7343,12.2072,11.4053,11.7752,12998729.242957747,567397522.2359155
2024-12-24,2024-12-25,10.7356,11.7631,10.5228,11.7269,12232796.3728223,527957341.19163764
2024-12-23,2024-12-24,10.1619,10.878,9.999318241906916,10.7618,10853037.435540069,491768796.5923345
2024-12-22,2024-12-23,10.2723,10.4965,9.982260279473445,10.1821,12554948.013937281,492235620.75261325
2024-12-21,2024-12-22,11.554,11.8841,10.253,10.3485,18802240.80487805,530160759.39721256
2024-12-20,2024-12-21,11.4725,11.7137,10.1937,11.5241,26246313.57142857,537142033.9303136
2024-12-19,2024-12-20,12.3806,12.4535,11.1867,11.5692,22199919.11149826,577318575.1045296
2024-12-18,2024-12-19,13.4944,13.7106,12.4066,12.4066,17961798.36585366,634651199.5993031
2024-12-17,2024-12-18,15.1906,15.1906,13.5003,13.5003,23470256.271777004,685422196.4912893
2024-12-16,2024-12-17,14.8112,16.1334,14.2805,15.1945,17475090,712055434.923345
2024-12-15,2024-12-16,13.9352,14.8584,13.7458,14.8239,15011736.846689895,682484834.2020906
2024-12-14,2024-12-15,14.2115,14.6496,13.6665,13.9102,19397426.456445992,680187784.6759582
2024-12-13,2024-12-14,14.828,15.1832,14.0272,14.1791,24100702.85365854,698786966.8432056
2024-12-12,2024-12-13,15.854,16.1277,14.7382,14.8213,26491087.665505227,748295233.3484321
2024-12-11,2024-12-12,14.0791,15.7873,13.674,15.7873,28303909.219512194,709279778.4320557
2024-12-10,2024-12-11,14.3057,14.8348,13.0197,14.0476,41249895.86759582,674946144.7421603
2024-12-09,2024-12-10,15.2964,15.2964,12.9302,14.4039,24066353.69337979,687967739.0418118
2024-12-08,2024-12-09,15.3447,15.5975,14.772,15.3329,18774413.11498258,730398361.891986
2024-12-07,2024-12-08,16.1675,16.2794,15.3538,15.3693,25370528.57839721,761088316.2857143
