Start,End,Open,High,Low,Close,Volume,Market Cap
2025-01-16,2025-01-17,195.0369,195.0369,195.0369,195.0369,419.1571960449978,4153116
2025-01-15,2025-01-16,195.0369,195.0369,195.0369,195.0369,419.1571960449978,4153116
2025-01-14,2025-01-15,195.0369,195.0369,195.0369,195.0369,419.1571960449978,4153116
2025-01-13,2025-01-14,195.0369,195.0369,195.0369,195.0369,419.1571960449978,4153116
2025-01-12,2025-01-13,195.0369,195.0369,195.0369,195.0369,419.1571960449978,4153116
2025-01-11,2025-01-12,195.0369,195.0369,195.0369,195.0369,419.1571960449978,4153116
2025-01-10,2025-01-11,195.0369,195.0369,195.0369,195.0369,419.1571960449978,4153116
2025-01-09,2025-01-10,195.0369,195.0369,195.0369,195.0369,419.1571960449978,4153116
2025-01-08,2025-01-09,195.0369,195.0369,195.0369,195.0369,419.1571960449978,4153116
2025-01-07,2025-01-08,195.0369,195.0369,195.0369,195.0369,419.1571960449978,4153116
2025-01-06,2025-01-07,195.0369,195.0369,195.0369,195.0369,419.1571960449978,4153116
2025-01-05,2025-01-06,195.0369,195.0369,195.0369,195.0369,419.1571960449978,4153116
2025-01-04,2025-01-05,195.0369,195.0369,195.0369,195.0369,419.1571960449978,4153116
2025-01-03,2025-01-04,195.0369,195.0369,195.0369,195.0369,419.1571960449978,4153116
2025-01-02,2025-01-03,195.0369,195.0369,195.0369,195.0369,419.1571960449978,4153116
2025-01-01,2025-01-02,195.0369,195.0369,195.0369,195.0369,419.1571960449978,4153116
2024-12-31,2025-01-01,195.0369,195.0369,195.0369,195.0369,419.1571960449978,4153116
2024-12-30,2024-12-31,195.0369,195.0369,195.0369,195.0369,419.1571960449978,4153116
2024-12-29,2024-12-30,195.0369,195.0369,195.0369,195.0369,419.1571960449978,4153116
2024-12-28,2024-12-29,195.0369,195.0369,195.0369,195.0369,419.1571960449978,4153116
2024-12-27,2024-12-28,195.0369,195.0369,195.0369,195.0369,419.1571960449978,4153116
2024-12-26,2024-12-27,195.0369,195.0369,195.0369,195.0369,419.1571960449978,4153116
2024-12-25,2024-12-26,195.0369,195.0369,195.0369,195.0369,419.1571960449979,4153116
