Start,End,Open,High,Low,Close,Volume,Market Cap
2025-02-03,2025-02-04,0.0004715147313434147,0.0005851411977288448,0.0004099217062136158,0.0005230781149167175,16196922.351916377,0
2025-02-02,2025-02-03,0.0005106708008657853,0.0005235483692210694,0.00044323199725214267,0.00047168627552536584,3792743.5783972126,0
2025-02-01,2025-02-02,0.0005394113009376806,0.0005933231985537914,0.0005065849320032321,0.0005078278935843894,3069196.104529617,0
2025-01-31,2025-02-01,0.0006950486452444862,0.0006950486452444862,0.000527808281801627,0.0005421820550835873,2225486.0975609757,0
2025-01-30,2025-01-31,0.0008061000010412514,0.0008239307476910236,0.0006596601056407083,0.0007040755892437559,3123138.386759582,0
2025-01-29,2025-01-30,0.0005801355245055014,0.0009389239458857391,0.0005778097788593045,0.000798041470687113,2498404.3031358887,0
2025-01-28,2025-01-29,0.0006859171057538485,0.000695578427517808,0.0005754786261971659,0.0005793535856414882,3035253.1219512196,0
2025-01-27,2025-01-28,0.0008754506398106277,0.0008814027671122622,0.000510378832999623,0.0006816569693840513,4241490.222996515,0
2025-01-26,2025-01-27,0.0010177140138799433,0.001017814710535408,0.0008711192556468843,0.0008801370120685892,2628749.132404181,0
2025-01-25,2025-01-26,0.0009811773962241479,0.0010179748037048492,0.0009093963267444247,0.0010179748037048492,3724406.18815331,0
2025-01-24,2025-01-25,0.0009008679714623704,0.001329776736896231,0.0008145853802012772,0.0009800825777306075,4907805.013937282,0
2025-01-23,2025-01-24,0.0011455578968712244,0.001150423996092675,0.0008509466732404169,0.0009009588122430632,4695842.766550522,0
2025-01-22,2025-01-23,0.0010676588244994019,0.0012559824628350208,0.0010481810942128632,0.0011492042499946329,6359198.299651568,0
2025-01-21,2025-01-22,0.001120475796560123,0.0012501029197566282,0.0008906297389573791,0.0010627517189279324,8882870.118466899,0
2025-01-20,2025-01-21,0.0010504398732693236,0.0013480111762161334,0.000809873385775384,0.0011112308020121916,19273908.05923345,0
2025-01-19,2025-01-20,0.0014131484414464498,0.0015739928866373987,0.001020402545186977,0.0010607097774303538,9758513.292682927,0
2025-01-18,2025-01-19,0.0017460765342417557,0.001838926181460773,0.0012591096572739954,0.0014696233389633986,8417725.783972126,0
2025-01-17,2025-01-18,0.001558214664696975,0.0018827892501417601,0.0014932218895231332,0.001755250248923508,8065072.662020906,0
2025-01-16,2025-01-17,0.0015801664067456498,0.0017101534080655974,0.0014965472249396253,0.0015579450839110056,6753038.383275261,0
2025-01-15,2025-01-16,0.00172099314514068,0.0017439850801750955,0.001510001952295164,0.0016099138909116003,4829129.6933797905,0
2025-01-14,2025-01-15,0.0016202949709565194,0.001777516496570118,0.001508943876166427,0.001721030313240567,4232082.365853659,0
2025-01-13,2025-01-14,0.001899185175742037,0.001917040589241807,0.0015781670601190477,0.0016108178854956478,3778732.4529616726,0
2025-01-12,2025-01-13,0.001965142708332532,0.0020112825350684545,0.0017845725077131856,0.001897380518789524,3113234.1986062718,0
2025-01-11,2025-01-12,0.0018271191975703714,0.002049481410655122,0.001742243757422276,0.0019696231429392015,3436413.1672473866,0
2025-01-10,2025-01-11,0.001916062319716916,0.0021868013038314747,0.0018289700795575054,0.001832959837731113,4310686.421602787,0
2025-01-09,2025-01-10,0.0021980135122316633,0.002295079444043084,0.0017785368440686258,0.0019105152728305672,5439211.703832753,0
2025-01-08,2025-01-09,0.002665913377014683,0.0026719634395777694,0.0018271299429403905,0.0022068774345255513,6863586.951219512,0
2025-01-07,2025-01-08,0.002738462169004705,0.003698634809662001,0.0024313130426460365,0.002678717838284305,7203959.37979094,0
2025-01-06,2025-01-07,0.001991291281853301,0.0027595655999720164,0.0018339511630392005,0.002727396195011058,5395457.090909091,0
2025-01-05,2025-01-06,0.002428089740148001,0.0024312471715253006,0.0017224916890297957,0.0019991737275496043,5113544.006968641,0
2025-01-04,2025-01-05,0.002618819936791731,0.003354869839691772,0.0023371585462938515,0.002487588890259104,6819915.31358885,0
2025-01-03,2025-01-04,0.002966233511245082,0.0032993150619302285,0.0024660931600129707,0.002645147703490246,6430474.222996515,0
2025-01-02,2025-01-03,0.002657236444919545,0.004079818114593311,0.002608459540101982,0.0030322543856853945,21973534.414634146,0
2025-01-01,2025-01-02,0.014558481810555971,0.018938030839150324,0.003909078037912883,0.004161091237229322,76338122.9270418,15285092.905179614
2024-12-31,2025-01-01,0.01984787916664189,0.019908016661444865,0.014647807286880438,0.015538492194424979,184842179.33833233,18597251.907454036
