Start,End,Open,High,Low,Close,Volume,Market Cap
2025-02-03,2025-02-04,1216.5286,1221.9326,978.7778,1130.587,2568147.8048780486,10535577.37630662
2025-02-02,2025-02-03,1343.8773,1348.9457,1207.257,1216.4237,1812929.2578397212,12837981.613240419
2025-02-01,2025-02-02,1407.8277,1413.765,1342.7042,1343.0898,1831974.7526132404,13944045.017421603
2025-01-31,2025-02-01,1383.5785,1453.4087,1369.0178,1407.1963,1757556.4216027874,14024004.965156794
2025-01-30,2025-01-31,1294.4019,1384.1098,1280.7443,1378.9203,1712456.731707317,13470249.209059233
2025-01-29,2025-01-30,1284.4505,1311.514,1275.3432,1294.1643,1653512.7038327525,12956986.99651568
2025-01-28,2025-01-29,1329.4344,1387.9989,1281.0066,1282.3999,1924739.6968641116,13231495.930313589
2025-01-27,2025-01-28,1426.6214,1426.6214,1273.2307,1327.2518,1912111.7282229965,13236627.651567943
2025-01-26,2025-01-27,1477.6866,1492.901,1432.1368,1432.1368,1742740.3240418117,14670405.648083623
2025-01-25,2025-01-26,1486.3201,1493.731,1463.0127,1478.9942,1914953.5644599304,14770405.770034844
2025-01-24,2025-01-25,1469.3013,1523.1951,1448.7422,1487.2388,2215707.5017421604,14969250.36933798
2025-01-23,2025-01-24,1448.8629,1469.1848,1412.3343,1469.1848,1949045.282229965,14328735.972125435
2025-01-22,2025-01-23,1501.112,1507.191,1449.5421,1451.0356,1990091.5853658537,14829739.491289198
2025-01-21,2025-01-22,1485.4452,1513.1386,1454.9409,1498.8364,2475900.080139373,14836656.44599303
2025-01-20,2025-01-21,1459.5175,1568.7324,1441.7139,1484.9958,2947082.4459930314,15171082.146341464
2025-01-19,2025-01-20,1475.7255,1582.5326,1372.1684,1467.526,2222663.505226481,14848870.142857144
2025-01-18,2025-01-19,1561.163,1562.6693,1451.6009,1470.568,2020055.7491289198,14918374.92682927
2025-01-17,2025-01-18,1505.695,1577.3742,1505.695,1562.4099,1949013.2857142857,15381655.790940767
2025-01-16,2025-01-17,1576.3016,1581.4483,1503.5815,1509.8866,1919246.8780487804,15410333.972125435
2025-01-15,2025-01-16,1464.2081,1574.6292,1450.1731,1570.7959,1727176.306620209,14971332.675958188
2025-01-14,2025-01-15,1415.6892,1520.6026,1414.5686,1464.7651,2082660.9163763067,14558555.397212544
2025-01-13,2025-01-14,1462.0869,1498.1886,1308.1126,1417.4092,1920834.700348432,14078410.787456445
2025-01-12,2025-01-13,1489.9497,1493.894,1440.3335,1460.8135,1603347.526132404,14732540.714285715
2025-01-11,2025-01-12,1514.7194,1518.1125,1487.0446,1490.2241,1749588.4668989547,15014064.449477352
2025-01-10,2025-01-11,1507.6438,1557.1941,1492.467,1514.7893,1843439.149825784,15255315.170731707
2025-01-09,2025-01-10,1544.7722,1562.6016,1504.3247,1508.2103,1902028.7421602788,15386387.912891986
2025-01-08,2025-01-09,1611.1963,1617.6267,1507.2344,1544.0203,2102791.4494773517,15689561.522648083
2025-01-07,2025-01-08,1855.342,1864.8647,1605.7289,1611.8744,2020692.512195122,17821598.79442509
2025-01-06,2025-01-07,1911.8071,1944.1785,1854.1268,1854.8945,1796968.6713286713,19165050.713286713
2025-01-05,2025-01-06,1916.9922,1936.5684,1908.3341,1912.4422,1652577.780487805,19174689.073170733
2025-01-04,2025-01-05,1924.704,1929.5835,1886.8822,1916.7452,1828115.7770034843,19055880.397212543
2025-01-03,2025-01-04,1825.7427,1932.7939,1797.708,1932.2769,1887151.6236933798,18491541.80836237
2025-01-02,2025-01-03,1738.9399,1855.9821,1738.1597,1825.5382,1678659.6898954704,18072046.473867595
2025-01-01,2025-01-02,1752.3718,1760.0661,1729.3061,1736.8008,1649323.7073170731,17430886.341463413
2024-12-31,2025-01-01,1751.9691,1805.0268,1742.4163,1753.9202,1905582.0487804879,17671541.240418117
2024-12-30,2024-12-31,1766.8807,1802.1076,1725.4277,1753.2588,1775224.12543554,17721892.271777004
2024-12-29,2024-12-30,1790.2812,1793.9761,1750.4297,1766.4174,1810568.3972125435,17758884.076655053
2024-12-28,2024-12-29,1744.9422,1795.8414,1744.9422,1790.0767,2078202.2508710802,17649709.36933798
2024-12-27,2024-12-28,1809.2288,1820.8884,1742.0634,1744.7301,1939667.0905923345,17787315.094076656
2024-12-26,2024-12-27,1894.5946,1904.0866,1807.1548,1809.212,1795453.9512195121,18474614.264808364
2024-12-25,2024-12-26,1934.4146,1934.4146,1875.3669,1893.7481,1874222.823943662,19087324.253521126
2024-12-24,2024-12-25,1900.6863,1961.0506,1874.7793,1933.749,1978074.9442508712,19131572.79442509
2024-12-23,2024-12-24,1828.8559,1920.4957,1813.0805,1902.562,1939181.3554006969,18567313.041811846
2024-12-22,2024-12-23,1888.7804,1921.7017,1818.8754,1832.8058,2056992.4041811847,18770285.386759583
2024-12-21,2024-12-22,1956.9733,2014.5342,1878.7467,1887.5823,2552241.2961672475,19385670.529616725
2024-12-20,2024-12-21,2019.5639,2020.8022,1752.0984,1955.0373,2730445.926829268,19333105.153310105
2024-12-19,2024-12-20,2169.7046,2209.4969,1971.3341,2024.0613,2275354.6097560977,21343530.592334494
2024-12-18,2024-12-19,2332.4276,2340.564,2163.8325,2163.8325,2064671.9407665506,22951043.550522648
2024-12-17,2024-12-18,2428.4203,2465.0813,2327.5885,2331.7147,1694458.463414634,24198676.543554008
2024-12-16,2024-12-17,2450.0368,2482.8099,2390.44,2428.2398,1596937.794425087,24388802.89198606
2024-12-15,2024-12-16,2372.8952,2436.6269,2367.2952,2434.6768,1517597.4355400696,23976182.68641115
2024-12-14,2024-12-15,2452.7548,2455.6209,2362.1224,2373.205,1785396.8885017422,24112693.89198606
2024-12-13,2024-12-14,2492.5234,2537.3425,2434.1668,2450.5338,1832824.9337979094,24742076.17770035
2024-12-12,2024-12-13,2459.729,2581.3659,2433.0852,2490.6148,1993613.0662020906,25194459.456445992
2024-12-11,2024-12-12,2381.3955,2522.7718,2344.0006,2458.984,2874516.411149826,24358816.400696862
2024-12-10,2024-12-11,2530.07,2564.6985,2349.0793,2378.3927,3089278.0209059236,24694589.209059235
2024-12-09,2024-12-10,2811.0312,2811.0742,2470.9749,2528.8937,2681640.1533101047,26779167.871080138
2024-12-08,2024-12-09,2867.4754,2977.3205,2764.9527,2811.3642,3645062.282229965,28315356.337979093
2024-12-07,2024-12-08,2741.9618,2863.0748,2701.9131,2863.0748,3632726.229965157,27721561.672473866
2024-12-06,2024-12-07,2308.6825,2860.6979,2308.6825,2708.2306,3059206.506993007,24577621.91958042
2024-12-05,2024-12-06,2326.4422,2404.6607,2293.5763,2313.721,2741643.083916084,23418787.636363637
2024-12-04,2024-12-05,2112.5012,2389.478,2106.5602,2322.9543,2935050.442508711,22589516.74912892
2024-12-03,2024-12-04,2118.5207,2168.7548,2068.6811,2106.3364,2786199.43554007,21181755.672473866
2024-12-02,2024-12-03,2216.0743,2216.0743,2069.5213,2116.9547,2556228.1707317075,21346532.79442509
2024-12-01,2024-12-02,2175.1504,2222.5325,2166.4669,2211.0811,2442345.616724739,21899375.651567943
2024-11-30,2024-12-01,2114.5378,2200.722,2107.1104,2173.4888,2517095.2648083623,21660706.331010453
2024-11-29,2024-11-30,2075.6808,2157.4865,2057.328,2111.9272,2453253.724738676,20969590.731707316
2024-11-28,2024-11-29,2089.8589,2089.8589,2048.6819,2069.7832,2575982.480836237,20682962.083623692
2024-11-27,2024-11-28,1870.7682,2093.833,1864.7842,2089.621,2611321.6968641113,19696918.581881534
2024-11-26,2024-11-27,1954.7282,1969.6889,1846.0221,1878.4324,2569652.6794425086,18969525.013937283
2024-11-25,2024-11-26,1927.5644,2007.593,1897.4876,1959.7869,2496944.12543554,19547862.12195122
2024-11-24,2024-11-25,1932.6381,1953.2132,1884.0237,1930.7334,2515221.0592334494,19221798.445993032
2024-11-23,2024-11-24,1882.6447,1976.9217,1882.578,1930.7508,2495649.06271777,19244185.641114984
2024-11-22,2024-11-23,1940.6223,1951.207,1869.2401,1882.2416,2530865.358885017,19035221.703832753
2024-11-21,2024-11-22,1762.3808,1941.8823,1744.3657,1938.9911,2460375.6363636362,18436190.842657343
2024-11-20,2024-11-21,1808.8544,1831.196,1759.8363,1765.1939,2472377.31010453,18004785.51567944
2024-11-19,2024-11-20,1822.1965,1845.6858,1777.9153,1811.8679,2624793.0836236933,18101423.069686413
2024-11-18,2024-11-19,1763.4914,1827.3634,1751.2273,1827.3634,2427691.226480836,17918807.99651568
2024-11-17,2024-11-18,1810.7421,1818.7812,1753.2541,1759.7477,2436564.212543554,17792536.355400696
2024-11-16,2024-11-17,1837.7368,1890.8464,1806.04,1810.8331,2455113.742160279,18515115.386759583
2024-11-15,2024-11-16,1830.0027,1844.9905,1781.3245,1836.0588,2703715.724738676,18248383.763066202
2024-11-14,2024-11-15,1971.2833,2075.2789,1820.7406,1823.4714,3016956.5540069686,19354201.341463413
2024-11-13,2024-11-14,2061.047,2066.4005,1932.781,1971.4023,3095282.101045296,20008801.783972126
2024-11-12,2024-11-13,2096.2896,2198.873,2050.057,2065.8636,3073053.919860627,21012070.986062717
2024-11-11,2024-11-12,2034.7671,2098.6324,1966.177,2098.6324,4010169.9024390243,20292601.48780488
2024-11-10,2024-11-11,1719.0248,2273.6832,1711.4143,2036.9991,4481280.574912892,20036659.456445992
2024-11-09,2024-11-10,1611.7116,1731.4756,1611.7116,1726.918,2654951.7526132404,16650196.68292683
2024-11-08,2024-11-09,1586.0147,1625.3702,1586.0147,1610.0641,2652978.7282229965,16051677.665505227
2024-11-07,2024-11-08,1517.619,1592.3503,1511.5569,1585.6645,2874129.2787456447,15705308.355400696
2024-11-06,2024-11-07,1361.2843,1518.1101,1361.2843,1517.0995,2638166.456445993,14600607.853658536
2024-11-05,2024-11-06,1352.6286,1382.6885,1346.6757,1364.3365,2308868.2473867596,13656661.229965156
2024-11-04,2024-11-05,1382.9479,1399.2633,1337.9345,1349.7568,2223314.898954704,13791048.839721255
2024-11-03,2024-11-04,1405.4692,1409.1861,1369.2411,1383.1735,2212960.3449477353,13833763.958188154
2024-11-02,2024-11-03,1448.5343,1451.1259,1399.5979,1404.9164,2356960.3275261326,14237602.087108014
2024-11-01,2024-11-02,1470.3624,1503.8702,1443.5205,1448.4565,2328613.7108013937,14607572.24041812
2024-10-31,2024-11-01,1569.3838,1570.9169,1468.288,1471.1745,2368508.662020906,15200555.864111498
2024-10-30,2024-10-31,1520.9618,1586.144,1507.0888,1567.6525,2433029.1393728224,15487381.303135889
2024-10-29,2024-10-30,1470.9156,1540.6123,1470.9156,1522.0576,2373904.662020906,15089226.386759581
2024-10-28,2024-10-29,1454.2559,1478.7917,1430.3632,1470.0295,2242331.4738675957,14528360.31707317
2024-10-27,2024-10-28,1432.4378,1459.8059,1415.5761,1454.8203,2263986.923344948,14345540.505226482
2024-10-26,2024-10-27,1412.4837,1460.8162,1408.8184,1432.0014,2686166.592334495,14266708.296167247
2024-10-25,2024-10-26,1484.7932,1485.9065,1413.8247,1415.6118,2430775.714285714,14653774.282229966
2024-10-24,2024-10-25,1496.8656,1510.8748,1472.0491,1481.677,2466034.543554007,14931487.174216028
2024-10-23,2024-10-24,1608.634,1611.3593,1472.994,1496.9262,2196286.8606271776,15515532.609756097
2024-10-22,2024-10-23,1631.7887,1632.5103,1605.1249,1612.1628,2247058.407665505,16167797.533101045
2024-10-21,2024-10-22,1686.5224,1698.2984,1629.6629,1631.2266,2469465.4041811847,16618325.592334494
2024-10-20,2024-10-21,1603.1788,1690.6893,1595.4643,1687.7473,2323435.8919860628,16298725.139372822
2024-10-19,2024-10-20,1609.9951,1632.5393,1601.1333,1604.0611,2405832.8222996513,16128177.738675958
2024-10-18,2024-10-19,1606.1331,1651.2884,1591.8338,1610.3695,2097471.0139372824,16108565.05574913
2024-10-17,2024-10-18,1650.9633,1654.2228,1605.8774,1608.5116,2113715.174216028,16302489.599303136
2024-10-16,2024-10-17,1613.9316,1667.0727,1600.5665,1650.7536,155392390.54703832,16387910.644599304
2024-10-15,2024-10-16,1659.9822,1675.5138,1576.7453,1617.7381,565283690.4181185,16177857.679442508
2024-10-14,2024-10-15,1530.7714,1693.525,1523.8595,1658.2721,559211808.195122,16114917.717770034
2024-10-13,2024-10-14,1399.4323,1529.6442,1391.0339,1529.6442,498577700.19163764,14398981.027874565
2024-10-12,2024-10-13,1349.5884,1402.4831,1332.7993,1394.645,470888726.21254355,13583863.961672474
2024-10-11,2024-10-12,1307.6604,1380.0066,1296.7709,1359.1322,458698196.25087106,13323122.74912892
2024-10-10,2024-10-11,1298.9663,1342.4222,1287.2118,1310.5686,429336373.11149824,13161068.331010453
2024-10-09,2024-10-10,1336.7185,1362.3035,1298.1035,1299.2337,421510206.4390244,13354894.867595818
2024-10-08,2024-10-09,1345.4279,1358.2047,1314.816,1335.02,419558400.358885,13357192.052264808
2024-10-07,2024-10-08,1340.0382,1387.2211,1331.0471,1352.6377,428693148.271777,13603422.365853658
2024-10-06,2024-10-07,1324.0538,1348.0018,1315.2574,1340.0047,419850688.63763064,13305871.00348432
2024-10-05,2024-10-06,1321.968,1342.7092,1306.4943,1323.9045,418508896.72473866,13275620.954703832
2024-10-04,2024-10-05,1302.3039,1358.1848,1294.6988,1324.0569,414016579.1010453,13236683.031358885
2024-10-03,2024-10-04,1323.3721,1359.8427,1282.2409,1303.9958,415150727.5226481,13185088.916376306
2024-10-02,2024-10-03,1380.5995,1400.2514,1306.9848,1323.0011,429630974.3554007,13694030.536585366
2024-10-01,2024-10-02,1467.0631,1503.2026,1380.8868,1382.166,457456584.9930314,14528045.75609756
2024-09-30,2024-10-01,1504.0097,1511.9585,1457.7585,1468.0401,472754595.8606272,14874092.118466899
2024-09-29,2024-09-30,1498.5966,1520.4202,1482.203,1504.4458,477603923.2543554,15035017.616724739
2024-09-28,2024-09-29,1506.8031,1539.9645,1483.4945,1499.1106,474984439.14285713,15100925.090592334
2024-09-27,2024-09-28,1505.4763,1544.4788,1471.5187,1510.0946,474849133.76655054,15065269.965156794
2024-09-26,2024-09-27,1503.4809,1520.2412,1452.5565,1496.0266,471363345.9651568,14884603.118466899
2024-09-25,2024-09-26,1536.3422,1540.5225,1485.6558,1503.4395,483501015.8432056,15130997.87456446
2024-09-24,2024-09-25,1520.6575,1542.6012,1494.6278,1536.6952,480455193.26480836,15139776.146341464
2024-09-23,2024-09-24,1488.3441,1550.5634,1479.1629,1518.6697,482638879.815331,15202749.857142856
2024-09-22,2024-09-23,1484.6599,1513.1132,1454.4393,1472.3836,473956437.8292683,14850942.344947735
2024-09-21,2024-09-22,1455.5514,1482.0169,1429.0591,1481.3897,457825480.4843206,14537577.721254356
