Start,End,Open,High,Low,Close,Volume,Market Cap
2025-02-03,2025-02-04,6.68586500588185e-9,6.68586500588185e-9,5.5838699714245805e-9,6.2562572183345724e-9,3450.3031464551227,0
2025-02-02,2025-02-03,7.115349069819369e-9,7.436565504616349e-9,6.603558595129217e-9,6.701806677446677e-9,901.81505395423,0
2025-02-01,2025-02-02,7.507384003734582e-9,7.711581266635637e-9,7.0742819225339276e-9,7.113053762726536e-9,617.189481877586,0
2025-01-31,2025-02-01,7.414081191255344e-9,7.846659351675868e-9,7.080074112041403e-9,7.526392434962206e-9,30.587579442508705,0
2025-01-30,2025-01-31,7.096587764972083e-9,7.591332133370464e-9,6.9764953267799705e-9,7.413705783935937e-9,23.183782572030136,0
2025-01-29,2025-01-30,7.114274286967359e-9,7.526944784985561e-9,6.938268281135517e-9,7.134194801694912e-9,114.0526885017421,0
2025-01-28,2025-01-29,7.226470513840614e-9,7.400848941300744e-9,6.842118173326554e-9,7.115195195123832e-9,410.45771219512204,0
2025-01-27,2025-01-28,7.619029822327929e-9,7.619029822327929e-9,7.1987959403170055e-9,7.204626354928295e-9,317.08566585365816,0
2025-01-26,2025-01-27,7.611921351409174e-9,7.780220315620558e-9,7.503995198809567e-9,7.619029822327929e-9,292.47728606271863,0
2025-01-25,2025-01-26,7.638462676731607e-9,7.74272093848372e-9,7.526699930134751e-9,7.61860665004188e-9,269.3788292682926,0
2025-01-24,2025-01-25,7.694353152745337e-9,8.007626788759117e-9,7.499165142749613e-9,7.642905300960318e-9,1524.9688282229965,0
2025-01-23,2025-01-24,7.641719405424025e-9,7.730648150631515e-9,7.343404173533416e-9,7.704367981278948e-9,1306.1044146341465,0
2025-01-22,2025-01-23,8.06046108653389e-9,8.165647317069354e-9,7.647306294969963e-9,7.653838095544726e-9,321.9458804878049,0
2025-01-21,2025-01-22,7.735222457787628e-9,8.271684521650779e-9,7.581259997833477e-9,8.015724530839883e-9,183.14473519163764,0
2025-01-20,2025-01-21,7.1062800185224905e-9,8.439268401695373e-9,6.986459623349128e-9,7.758730351170936e-9,2681.8634400696833,0
2025-01-19,2025-01-20,8.200787284735755e-9,8.669300412877271e-9,7.143970982938532e-9,7.286677681509619e-9,345.3746480836238,0
2025-01-18,2025-01-19,8.54472828830649e-9,8.586945583021387e-9,7.872973655984434e-9,8.221637832876204e-9,1500.923180487805,0
2025-01-17,2025-01-18,8.244557073245516e-9,8.677862414898215e-9,8.244557073245516e-9,8.56918065565104e-9,841.0377599303137,0
2025-01-16,2025-01-17,8.511328521108668e-9,8.577469049263074e-9,8.162534357077746e-9,8.241932023481017e-9,1274.4335836236933,0
2025-01-15,2025-01-16,7.967675541152965e-9,8.842227784766621e-9,7.77812321202931e-9,8.53069485407528e-9,875.2812923344952,0
2025-01-14,2025-01-15,7.890357903548457e-9,8.223802255381118e-9,7.866311487978082e-9,8.006233626642004e-9,596.371507317073,0
2025-01-13,2025-01-14,8.22152946329929e-9,8.399367972816679e-9,7.521023782989283e-9,7.872858620829265e-9,1413.8427477351922,0
2025-01-12,2025-01-13,8.492979623574157e-9,8.528117732730486e-9,8.16504865870153e-9,8.216227800222927e-9,1102.2240540069688,0
2025-01-11,2025-01-12,8.44934491503326e-9,8.666904492747692e-9,8.264705380943726e-9,8.504574607281114e-9,208.0200205574911,0
2025-01-10,2025-01-11,8.490862044622621e-9,8.744476500072339e-9,8.039215504831502e-9,8.45805833941215e-9,555.1787529616723,0
