Start,End,Open,High,Low,Close,Volume,Market Cap
2025-02-03,2025-02-04,1.6584439219144717e-10,1.65845537811284e-10,1.4545340483501453e-10,1.4669277475647262e-10,0.007259701456626186,0
2025-02-02,2025-02-03,1.7814116640611622e-10,1.8077859190752977e-10,1.6380434485309917e-10,1.6663750554377864e-10,0.021278181001513522,0
2025-02-01,2025-02-02,2.2018436595557514e-10,2.224327639772621e-10,1.7675822373846713e-10,1.784641781648651e-10,1.3813347955346806,0
2025-01-31,2025-02-01,1.909286936569626e-10,2.2386131955499451e-10,1.7510901437657355e-10,2.2004587792741094e-10,1.4483872492843097,0
2025-01-30,2025-01-31,1.994186262803895e-10,2.0403299648890018e-10,1.8957198751798475e-10,1.9274527282931395e-10,1.8934376420040284,0
2025-01-29,2025-01-30,1.9572965943003763e-10,2.0620527967856707e-10,1.9281516832670074e-10,1.9914731410084233e-10,0.03763711934350032,0
2025-01-28,2025-01-29,2.2311864749330596e-10,2.2840982218983304e-10,1.9114034319792757e-10,1.954812325278997e-10,0.2958769177702324,0
2025-01-27,2025-01-28,1.891488867270705e-10,2.2209473439158375e-10,1.8082874330605604e-10,2.2172686617295223e-10,1.7417768180592896,0
2025-01-26,2025-01-27,1.6278957059562297e-10,1.9351314788386673e-10,1.594288200296962e-10,1.904247533975022e-10,0.9613287175567163,0
2025-01-25,2025-01-26,1.8477864504550568e-10,1.8477864504550568e-10,1.6287206650952068e-10,1.6369696380962918e-10,2.6253374605582223,0
2025-01-24,2025-01-25,1.664933284596905e-10,1.9692097816870593e-10,1.6494274009202e-10,1.8477864504550568e-10,4.145051447734132,0
2025-01-23,2025-01-24,1.6793724059812797e-10,1.7005047703160976e-10,1.6276379941534844e-10,1.6671285591641914e-10,4.054673808129935,0
2025-01-22,2025-01-23,3.0421536177535456e-10,3.1245018593729245e-10,1.6802410992268124e-10,1.6802410992268124e-10,5.554951622166884,0
2025-01-21,2025-01-22,2.641393876529754e-10,3.1565240393856365e-10,2.2090133889393752e-10,3.0428462215406813e-10,7.657321194336287,0
2025-01-20,2025-01-21,2.518490858168011e-10,2.898822111425249e-10,2.4633598017063405e-10,2.646855180305059e-10,1.8059231391322756,0
2025-01-19,2025-01-20,3.8490545177795453e-10,6.839668451201089e-10,2.503358655410264e-10,2.5518187501122005e-10,0.8668489228863789,0
