Start,End,Open,High,Low,Close,Volume,Market Cap
2025-02-03,2025-02-04,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-02-02,2025-02-03,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-02-01,2025-02-02,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-31,2025-02-01,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-30,2025-01-31,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-29,2025-01-30,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-28,2025-01-29,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-27,2025-01-28,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-26,2025-01-27,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-25,2025-01-26,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-24,2025-01-25,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-23,2025-01-24,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-22,2025-01-23,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-21,2025-01-22,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-20,2025-01-21,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-19,2025-01-20,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-18,2025-01-19,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-17,2025-01-18,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-16,2025-01-17,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-15,2025-01-16,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-14,2025-01-15,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-13,2025-01-14,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-12,2025-01-13,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-11,2025-01-12,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-10,2025-01-11,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-09,2025-01-10,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-08,2025-01-09,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-07,2025-01-08,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-06,2025-01-07,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-05,2025-01-06,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-04,2025-01-05,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-03,2025-01-04,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-02,2025-01-03,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2025-01-01,2025-01-02,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2024-12-31,2025-01-01,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2024-12-30,2024-12-31,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2024-12-29,2024-12-30,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2024-12-28,2024-12-29,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2024-12-27,2024-12-28,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2024-12-26,2024-12-27,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2024-12-25,2024-12-26,1967.4198,1967.4198,1967.4198,1967.4198,0,0
2024-12-24,2024-12-25,1967.4198,1967.4198,1967.4198,1967.4198,0,0
