Start,End,Open,High,Low,Close,Volume,Market Cap
2025-02-03,2025-02-04,1.1806279028972694e-9,1.207317979102178e-9,9.98203796987209e-10,1.1905339902640766e-9,2946.266389198604,0
2025-02-02,2025-02-03,1.2825047195719144e-9,1.3169144692807694e-9,1.148393177016167e-9,1.1808006495580021e-9,2115.6266519163746,0
2025-02-01,2025-02-02,1.3376677423850567e-9,1.3700682347119839e-9,1.24868154898134e-9,1.2829119838812617e-9,1141.0227961672479,0
2025-01-31,2025-02-01,1.3260702433532547e-9,1.4083448642147258e-9,1.2901045340491122e-9,1.3400526361215547e-9,763.1077477351919,0
2025-01-30,2025-01-31,1.2652251234796618e-9,1.35653319704004e-9,1.2438142743543164e-9,1.3260030986238456e-9,512.6574404181181,0
2025-01-29,2025-01-30,1.2704592988234578e-9,1.3474062636230357e-9,1.2286963047848585e-9,1.2719299468760835e-9,1532.5245369337983,0
2025-01-28,2025-01-29,1.3015604624351957e-9,1.3358797741818901e-9,1.2463044561910138e-9,1.270623753591936e-9,9575.152950174215,0
2025-01-27,2025-01-28,1.295594391904426e-9,1.3849883834551938e-9,1.2062845821187127e-9,1.2976261083793712e-9,8215.058437979083,0
2025-01-26,2025-01-27,1.3709961924881644e-9,1.4064628490299767e-9,1.301123936936575e-9,1.301123936936575e-9,765.4830017421605,0
2025-01-25,2025-01-26,1.3783666661887969e-9,1.3988312427252517e-9,1.360587249476871e-9,1.3722002930756446e-9,1440.6221714285718,0
2025-01-24,2025-01-25,1.4067864280684783e-9,1.448023563347418e-9,1.3707371835973082e-9,1.379168341264845e-9,7703.918958536578,0
2025-01-23,2025-01-24,1.3884376811925234e-9,1.4144467271773183e-9,1.3404022982368643e-9,1.40861747540681e-9,9258.907722648086,0
2025-01-22,2025-01-23,1.475151383471702e-9,1.4944015990401123e-9,1.39044074290842e-9,1.3910134117353559e-9,2480.7281961672466,0
2025-01-21,2025-01-22,1.416894914196948e-9,1.51380755204435e-9,1.388692929357241e-9,1.4669641108932107e-9,1954.9765390243904,0
2025-01-20,2025-01-21,1.2791162794024778e-9,1.5192476700925998e-9,1.2575488464176809e-9,1.4212009590146713e-9,7794.822950174214,0
2025-01-19,2025-01-20,1.4503133932742014e-9,1.5017392216777542e-9,1.2859005780855126e-9,1.3115875001947277e-9,11271.49382682928,0
2025-01-18,2025-01-19,1.6046209993601995e-9,1.6058685780461223e-9,1.3808055985270566e-9,1.454000823294669e-9,20135.292090592306,0
2025-01-17,2025-01-18,1.3946318632252804e-9,1.6148223999160318e-9,1.3946318632252804e-9,1.6092129279506998e-9,4277.846597212547,0
2025-01-16,2025-01-17,1.4824379691135864e-9,1.4835383444488045e-9,1.3831005381785603e-9,1.3941878153508346e-9,3968.71279303136,0
2025-01-15,2025-01-16,1.3927210223528901e-9,1.5545084291086553e-9,1.3595459332416366e-9,1.485811048561877e-9,1377.2664627177694,0
2025-01-14,2025-01-15,1.361118425835839e-9,1.4261196939019113e-9,1.3565872269452177e-9,1.3994608369907854e-9,3973.327962369337,0
2025-01-13,2025-01-14,1.4737131309761986e-9,1.5055907697828153e-9,1.2942153236136714e-9,1.3583867567870784e-9,3807.721631010452,0
2025-01-12,2025-01-13,1.4929389013155068e-9,1.4983386087164517e-9,1.4490496309128057e-9,1.4727628053066838e-9,1975.5391905923352,0
2025-01-11,2025-01-12,1.4708925418129558e-9,1.5221345025291084e-9,1.435759850953654e-9,1.4949771261792738e-9,868.2458839721251,0
2025-01-10,2025-01-11,1.4647936914692193e-9,1.519876284977089e-9,1.3972949662009425e-9,1.472537432853394e-9,420.3059717770032,0
2025-01-09,2025-01-10,1.513655366502705e-9,1.5483151269019674e-9,1.4247805446798356e-9,1.461448501773893e-9,1849.842312195122,0
2025-01-08,2025-01-09,1.5434294099665496e-9,1.5510165564057024e-9,1.4649491541075e-9,1.5167096716791024e-9,6315.820907665504,0
2025-01-07,2025-01-08,1.7044809064211681e-9,1.7342740285921202e-9,1.5385035591506255e-9,1.5418507692624179e-9,5937.1270843205575,0
2025-01-06,2025-01-07,1.7526003295604397e-9,1.793947142034827e-9,1.680105523211725e-9,1.7082391942165676e-9,6201.604118078026,0
2025-01-05,2025-01-06,1.7654204833415321e-9,1.808559452115757e-9,1.7100858378037285e-9,1.7537139047700755e-9,990.1460554006962,0
2025-01-04,2025-01-05,1.7683486624283339e-9,1.8053845751667942e-9,1.6965975904338454e-9,1.7769318622745415e-9,5421.442683623696,0
2025-01-03,2025-01-04,1.7125380578625636e-9,1.7922474785757028e-9,1.6670276566674807e-9,1.770513737285652e-9,4978.3433724738725,0
2025-01-02,2025-01-03,1.760536558521226e-9,2.629352678257074e-9,1.5578537887865555e-9,1.7091509713922269e-9,4429.104774912891,0
2025-01-01,2025-01-02,1.6322269758391254e-9,1.8570265547838523e-9,1.5161503323078842e-9,1.815262750195449e-9,1339.97330662021,0
2024-12-31,2025-01-01,1.6560935864315388e-9,1.726219518517269e-9,1.6254112025707587e-9,1.6337217576845192e-9,4240.082877003481,0
