Start,End,Open,High,Low,Close,Volume,Market Cap
2025-02-03,2025-02-04,0.0007465197491914377,0.0011681478711735693,0.0006077755048972883,0.0010681885573144779,169622293.2578397,345962550.22299653
2025-02-02,2025-02-03,0.0008184285034284131,0.0008756650964228216,0.0006543600069000309,0.0007563330903759474,90513255.87456445,319188658.6794425
2025-02-01,2025-02-02,0.0010257736337737802,0.0011056373086848832,0.0008075228710381206,0.0008075228710381206,102972308.55749129,377268419.41463417
2025-01-31,2025-02-01,0.0011709307008210847,0.0011909718283977693,0.0009970868727655084,0.0010182420671702066,96412104.60278745,446583620.68989545
2025-01-30,2025-01-31,0.001247772936625789,0.0013334706544470445,0.0011760095071185195,0.0012010846539203478,172589549.77351916,505044157.6968641
2025-01-29,2025-01-30,0.0011613962036118503,0.001256974649458498,0.0010528800569665107,0.001256974649458498,174213758.7595819,461618821.0418118
2025-01-28,2025-01-29,0.0013294552533909124,0.0015547444649261933,0.0011350842197711752,0.0011632483571345361,418513179.3832753,538499635.2996516
2025-01-27,2025-01-28,0.0014199142552083154,0.0017261011407680791,0.0009524828922512938,0.0012647788520106656,773500739.804878,519620368.9198606
2025-01-26,2025-01-27,0.001004247691992655,0.002211492341803689,0.0009973707313507168,0.0014676909494573567,877902851.9930314,603466428.5993031
2025-01-25,2025-01-26,0.0006350155170537013,0.0011961898753152856,0.0005941659276890124,0.0010133072097038467,271893289.4947735,328893224.641115
2025-01-24,2025-01-25,0.0005491703795302141,0.0007204421272262657,0.00047443946227508405,0.0006350761198187447,123825706.93728223,233033018.06271777
2025-01-23,2025-01-24,0.00045431261105245447,0.0005403974563268966,0.0003086981056099034,0.0005403974563268966,25500105.209059235,152754690.49825785
2025-01-22,2025-01-23,0.0003302742347128109,0.000488618940772251,0.00032522846646861227,0.00046536555215381646,10603340.411149826,148610329.59581882
2025-01-21,2025-01-22,0.0003321818593850335,0.0003774734909157143,0.00031363175034162665,0.0003313235799308105,13072804.411149826,137120405.10801393
2025-01-20,2025-01-21,0.0003906772828627549,0.00042778965788300966,0.0003299064611984123,0.0003350191265135564,23471770.989547037,153323978.85365853
2025-01-19,2025-01-20,0.0003702617806689968,0.000493115592532349,0.0003598202086069177,0.000388482356209374,25127377.703832753,170448574.5574913
2025-01-18,2025-01-19,0.000425530230435003,0.00043327644145938946,0.0003351872353380458,0.000374202149874513,32389315.031358887,148991755.43205574
2025-01-17,2025-01-18,0.0003134499800550853,0.000493516640888398,0.0003134499800550853,0.0004346280251211379,36329655.09756097,165793765.94076654
2025-01-16,2025-01-17,0.0002974595940909254,0.0003204328647280144,0.0002797485089285168,0.0003062924099850222,35053074.37630662,120119720.7804878
2025-01-15,2025-01-16,0.00032792591816850766,0.00033870562700163856,0.00023183374357922882,0.00030217472667866846,36412134.53658537,119559718.6271777
2025-01-14,2025-01-15,0.0001301579072281895,0.00037369729957570656,0.00012995963575002987,0.0003047259786921647,7814668.365853659,59041257.28571428
2025-01-13,2025-01-14,0.0001314237063241203,0.00013430760151044729,0.0001156587901708904,0.00012991281030038653,6900285.752613241,51155013.271777004
2025-01-12,2025-01-13,0.0001262246439649727,0.0001369324328964761,0.00012418259794314777,0.00013115811420059842,7174927.473867596,52848001.43554007
2025-01-11,2025-01-12,0.00013138154478214777,0.00013138154478214777,0.00012019140387014359,0.0001240460325506076,7208379.895470384,50919308.12195122
2025-01-10,2025-01-11,0.00013346475440134456,0.00013985732862287342,0.00012680343218718658,0.00013142143296731313,7291115.257839722,54649537.55400697
2025-01-09,2025-01-10,0.00014699761522632114,0.00014948334058404795,0.00013196342323080408,0.00013369777073995873,7129875.885017422,56978004.7456446
2025-01-08,2025-01-09,0.00016100305044641165,0.00016501284404406896,0.00014002419543694374,0.00014744787069688028,7811925.414634147,61953326.56097561
2025-01-07,2025-01-08,0.00017721226120315822,0.0001866934736033225,0.000160973812612053,0.00016099229098675278,9246416.620209059,71233006.75261325
2025-01-06,2025-01-07,0.00014407609136355817,0.00018688594268724367,0.00013818977374820674,0.00017950532951852566,11352311.555944055,61081028.04545455
2025-01-05,2025-01-06,0.0001520162515351426,0.0001520162515351426,0.00013847374350107127,0.00014442768779243716,12235649.787456445,59468299.64808363
2025-01-04,2025-01-05,0.00014778341717724012,0.00016113242437453232,0.00014610290962638046,0.00015391829595412125,12835443.216027874,62652608.66202091
2025-01-03,2025-01-04,0.0001316067882209049,0.00015782688779480186,0.0001316067882209049,0.00014564833301689657,13304954.99651568,58640914.96167248
2025-01-02,2025-01-03,0.00011716433353773123,0.000135133540005965,0.00011017218799865376,0.00013039751960098808,12744501.919860628,49256071.13240418
2025-01-01,2025-01-02,0.00012578084236941574,0.00012678261065475726,0.00011468233439248325,0.0001165860946876043,12518594.111498257,49172959.17770035
2024-12-31,2025-01-01,0.00013447885624193737,0.00013632450868848733,0.0001239611243852077,0.00012552182642652825,12378926.641114982,53579244.69686411
2024-12-30,2024-12-31,0.00014161084865497596,0.00014543449302599186,0.0001333046203496496,0.00013445093205772754,12856304.331010453,57246133.92334495
2024-12-29,2024-12-30,0.00014401822929282796,0.00014981241232032841,0.00014053816365010833,0.00014211085898160598,12689420.285714285,58975356.79790941
