Start,End,Open,High,Low,Close,Volume,Market Cap
2025-02-03,2025-02-04,3452.9379,3452.9379,2892.6717,3403.8819,94197813.30651358,0
2025-02-02,2025-02-03,3705.6267,3803.3017,3358.2084,3453.4431,19133648.51219512,0
2025-02-01,2025-02-02,3907.8765,3991.4814,3649.6877,3705.7862,28183031.714285713,0
2025-01-31,2025-02-01,3854.2582,4065.1867,3751.7975,3914.8437,16917359.979094077,0
2025-01-30,2025-01-31,3665.839,3940.9317,3603.804,3854.063,18400319.557491288,0
2025-01-29,2025-01-30,3657.3758,3956.1728,3614.6999,3685.2654,40140031.85714286,0
2025-01-28,2025-01-29,3750.9723,3875.4056,3584.2903,3657.8492,41150181.26829268,0
2025-01-27,2025-01-28,3722.0632,3845.6775,3532.6742,3739.634,38874840.69686411,0
2025-01-26,2025-01-27,3926.7392,4010.5482,3737.883,3737.883,30330241.49477352,0
2025-01-25,2025-01-26,3940.7934,3991.5764,3875.6804,3929.8753,25272842.181184668,0
2025-01-24,2025-01-25,3906.6585,4108.4042,3807.6395,3941,43338720.66202091,0
2025-01-23,2025-01-24,3807.0843,3916.7132,3765.4388,3911.7433,39565669.131751575,0
2025-01-22,2025-01-23,4025.2657,4078.74,3812.9308,3814.1786,47061066.6445993,0
2025-01-21,2025-01-22,3865.6467,4134.0978,3790.9677,4002.925,37738345.29965157,0
2025-01-20,2025-01-21,3554.225,4220.8541,3494.2965,3881.8749,10888819.24390244,0
2025-01-19,2025-01-20,3970.1225,4198.1312,3573.0763,3644.4514,19570058.289198607,0
2025-01-18,2025-01-19,4121.5164,4142.238,3805.3321,3980.2166,19920491.543554008,0
2025-01-17,2025-01-18,3921.943,4194.8021,3921.943,4133.3109,23098224.43554007,0
2025-01-16,2025-01-17,4037.4921,4080.3095,3882.9245,3920.6943,32517636.132404182,0
2025-01-15,2025-01-16,3831.7641,4253.1977,3740.6049,4046.6789,21315382.62020906,0
2025-01-14,2025-01-15,3734.6938,3918.3766,3723.3121,3850.3073,31226306.56445993,0
2025-01-13,2025-01-14,3881.857,3965.8248,3559.8794,3726.411,16455447.167247387,0
2025-01-12,2025-01-13,3905.7018,3934.608,3807.6847,3879.3538,7304622.097560976,0
2025-01-11,2025-01-12,3886.6569,3982.0809,3802.7013,3911.034,9258478.12543554,0
2025-01-10,2025-01-11,3871.5956,4017.0024,3693.0224,3891.0031,12764237.947735192,0
2025-01-09,2025-01-10,3987.1399,4088.1607,3767.7272,3862.754,21383084.87456446,0
2025-01-08,2025-01-09,4038.0327,4052.6596,3834.1014,3995.1853,31642580.543554008,0
2025-01-07,2025-01-08,5666.8005,5666.8005,4007.5875,4033.9026,26600203.56445993,0
2025-01-06,2025-01-07,5666.8005,5666.8005,5666.8005,5666.8005,8958917,0
2025-01-05,2025-01-06,5666.8005,5666.8005,5666.8005,5666.8005,8958917,0
2025-01-04,2025-01-05,5666.8005,5666.8005,5666.8005,5666.8005,8958917,0
2025-01-03,2025-01-04,5666.8005,5666.8005,5666.8005,5666.8005,8958917,0
2025-01-02,2025-01-03,4267.1487,6473.7633,3801.3686,5666.8005,7420027.0348432055,0
2025-01-01,2025-01-02,3949.8116,4501.0189,3674.8108,4399.7928,10842539.602787456,0
2024-12-31,2025-01-01,3982.4696,4151.8096,3924.8637,3953.4288,29653394.63066202,0
2024-12-30,2024-12-31,3993.9202,4094.6423,3894.2287,3980.263,16827434.665505227,0
2024-12-29,2024-12-30,4088.0725,4088.0725,3932.0566,3996.6984,24359812.414634146,0
2024-12-28,2024-12-29,3960.9128,4105.353,3912.0014,4090.6517,25725802.045296166,0
2024-12-27,2024-12-28,3975.4289,4123.0066,3884.3982,3965.1062,43266658.53425087,0
2024-12-26,2024-12-27,3940.7104,4361.3275,3705.842,3959.2362,31723816.89198606,0
2024-12-25,2024-12-26,4162.379,5162.2098,3443.4855,4171.0808,36236031.51408451,0
2024-12-24,2024-12-25,4073.8466,4166.6572,3978.5355,4166.6572,41417415.3902439,0
2024-12-23,2024-12-24,3884.1591,4135.2034,3847.7735,4076.0167,38257889.487804875,0
2024-12-22,2024-12-23,3949.1012,4063.3266,3833.8208,3895.6143,26946360.149825785,0
2024-12-21,2024-12-22,4180.7039,4237.735,3899.4438,3956.031,63712284.36585366,0
2024-12-20,2024-12-21,4068.8864,4202.6779,3620.2231,4186.4741,76075394.65156795,0
