Start,End,Open,High,Low,Close,Volume,Market Cap
2025-02-03,2025-02-04,5979.9525,6433.961,5312.0339,6353.8668,134871320.11149827,196325488.5261324
2025-02-02,2025-02-03,6626.7795,6802.1219,5857.9733,5989.2793,48431494.06968641,217350244.68292683
2025-02-01,2025-02-02,7158.6414,7233.3382,6574.293,6610.703,40206262.48432056,232721814.7839721
2025-01-31,2025-02-01,7215.7916,7466.6014,7095.6088,7172.6104,35686361.73867596,241641859.815331
2025-01-30,2025-01-31,7090.0647,7386.1239,7026.3658,7207.7474,43144468.8815331,240948513.34494773
2025-01-29,2025-01-30,6883.1915,7239.0392,6883.1915,7086.9752,41283943.153310105,236774229.10801393
2025-01-28,2025-01-29,7322.5972,7356.3914,6829.9151,6869.2769,48579184.12543554,240187836.271777
2025-01-27,2025-01-28,7164.0854,7342.9772,6810.8339,7292.1825,53978319.67247387,236480058.21254355
2025-01-26,2025-01-27,7536.2302,7566.3233,7188.3026,7188.3026,30776234.818815332,249984844.90592334
2025-01-25,2025-01-26,7471.9659,7620.8156,7397.128,7540.6908,36575578.75958188,252197900.2404181
2025-01-24,2025-01-25,7681.8339,7734.4859,7448.9592,7456.0966,49265690.40418118,254489399.5052265
2025-01-23,2025-01-24,7575.9659,7739.4848,7438.4407,7678.9309,40245774.88850174,253035065.184669
2025-01-22,2025-01-23,7819.9336,7867.8228,7535.8234,7582.7499,48067310.71428572,258759073.0174216
2025-01-21,2025-01-22,7764.2172,7969.6993,7523.3319,7776.2424,73518831.271777,259044672.4216028
2025-01-20,2025-01-21,7552.111,8311.9307,7419.5587,7781.673,109249128.11498258,261918315.20905924
2025-01-19,2025-01-20,8170.6585,8396.3899,7495.1589,7602.9828,65787458.6271777,268872536.9860627
2025-01-18,2025-01-19,8736.9192,8762.8957,8037.6405,8207.2083,70304451.10801394,277050290.0348432
2025-01-17,2025-01-18,8228.1741,8828.947,8221.2364,8738.6224,65360258.846689895,286637886.0522648
2025-01-16,2025-01-17,8462.5184,8488.8858,8155.7619,8216.3262,59686477.33101045,278248636.8919861
2025-01-15,2025-01-16,7959.3573,8437.9222,7957.9048,8437.9222,48351678.46341463,272485316.4216028
2025-01-14,2025-01-15,7789.4616,7992.5731,7699.4976,7969.0559,55222531.50522648,261935203.6794425
2025-01-13,2025-01-14,7889.2609,8062.6321,7326.4648,7811.2678,50623919.32404181,255751270.44947734
2025-01-12,2025-01-13,7999.8308,8034.6257,7789.4021,7894.06,33875731.153310105,265923967.4947735
2025-01-11,2025-01-12,8053.6076,8073.5996,7906.8304,8010.5903,43329647.82229965,267173707.37979093
2025-01-10,2025-01-11,7903.9347,8173.005,7855.6368,8061.9678,56094024.12543554,268874256.85714287
2025-01-09,2025-01-10,8159.3791,8371.8695,7777.8567,7875.3578,60767191.466898955,270513464.20905924
2025-01-08,2025-01-09,8196.095,8260.6528,7840.7274,8165.5083,65084165.68989547,271726340.70383275
2025-01-07,2025-01-08,9023.956,9023.956,8172.2915,8207.8943,55925803.146341465,291398304.0522648
2025-01-06,2025-01-07,8977.4186,9163.3504,8807.9384,9045.3078,50802515.43006993,300447618.3111888
2025-01-05,2025-01-06,8854.3921,9004.6478,8662.2415,8955.1296,48012956.71777003,294899271.456446
2025-01-04,2025-01-05,8937.623,9001.3336,8712.4395,8872.6899,58897203.28222997,296784373.6167247
2025-01-03,2025-01-04,8382.5895,9150.0168,8303.1766,8921.0868,56689044.51567944,288677873.24041814
2025-01-02,2025-01-03,8344.8836,8640.7932,8292.1073,8372.3527,54794639.721254356,282826705.6585366
2025-01-01,2025-01-02,8024.8476,8393.7869,7913.488,8332.238,50775267.860627174,271449345.32752615
2024-12-31,2025-01-01,8244.3005,8393.2467,7937.6888,8011.3555,54365963.18815331,272006772.1184669
2024-12-30,2024-12-31,8312.5254,8625.175,8153.104,8261.444,49501346.92334495,281284830.7630662
2024-12-29,2024-12-30,8782.2089,8782.2089,8236.0086,8339.2683,42828473.06620209,285869273.4250871
2024-12-28,2024-12-29,8551.4084,8854.1052,8456.0453,8778.4649,47631249.68989547,288056240.21254355
2024-12-27,2024-12-28,8618.1752,8963.9628,8479.4772,8515.1244,56363314.7456446,290312567.2891986
2024-12-26,2024-12-27,9230.3992,9230.7559,8499.3191,8591.5722,58256403.7630662,291978622.4216028
2024-12-25,2024-12-26,9298.0701,9368.8688,8985.9537,9200.2995,68211908.66549295,307613418.4753521
2024-12-24,2024-12-25,9030.2379,9517.2691,8832.1483,9345.2303,78854100.8989547,304646364.0487805
2024-12-23,2024-12-24,8555.9327,9254.082,8403.1962,9051.4032,77245567.55400696,291025020.9825784
2024-12-22,2024-12-23,8518.4037,8841.1924,8346.5713,8573.7834,86746892.13240418,287661221.4843206
2024-12-21,2024-12-22,9197.0817,9674.1246,8429.9999,8535.5669,138362468.87804878,300384263.1184669
2024-12-20,2024-12-21,8498.8688,9066.6433,7364.1644,9066.6433,157748751.4250871,282673552.92334497
2024-12-19,2024-12-20,9186.1589,9583.161,8217.1803,8561.9127,147267194.0139373,303691235.5749129
2024-12-18,2024-12-19,10067.36,10167.53,9238.0658,9238.0658,111165932.79094076,331280876.5191638
2024-12-17,2024-12-18,10681.66,10726.16,9996.4338,10043.97,107666922.91986063,349967359.92334497
2024-12-16,2024-12-17,10985.81,11446.43,10572.71,10742.52,131012994.74912892,365422135.543554
2024-12-15,2024-12-16,10714.88,11088.19,10422.84,11046.46,110539069.19512194,360402691.2369338
2024-12-14,2024-12-15,11422.52,11549.42,10449.78,10716.83,129618574.45296167,366881052.1567944
2024-12-13,2024-12-14,11407.89,11507.78,11118.78,11371.54,175806641.4878049,378305858
2024-12-12,2024-12-13,11502.52,11943.33,11230.87,11427.05,245920650.2055749,387343645.902439
2024-12-11,2024-12-12,11007.38,12237.28,10413.61,11570.05,336624521.22996515,369915977.63763064
2024-12-10,2024-12-11,10335.24,11343.58,9778.7933,11054.87,451028283.76655054,351171295.9303136
